歌名,署名,性別,wp/fe 引文,問題(含引文),M1 將女性化約為身體部位與可品評物件,M2 以命令句指揮女性的身體與行為,M3 男性單一視角代言，女性全程無聲,M4 金錢供養與親密關係的交易腳本,M5 性的雙重標準與貞潔敘事,M6 挪用女性賦權語彙並掏空其意涵,M7 架空拒絕與同意,M8 「紅顏禍水」式的歸咎敘事,M9 男性自居評價者、授權者與守門人,M10 單向忠誠要求與占有控制,M11 貶抑其他女性以襯托眼前對象、將女性可替換化,M12 動物化、幼體化與馴服框架,M13 以性征服炫耀男性氣概、將性框架為男性間的較量,F1 厭女詞彙的雙向流通——自稱與攻擊共用同一套貶稱,F2 陰性即侮辱、陽剛即力量的語言階序,F3 以男性為戰利品的女性敵對競爭,F4 男性過錯的責任轉嫁至女性,F5 性—資源交易腳本,F6 消費化的賦權——以財富與奢侈品界定自主與尊重,F7 身體的部位化與商品化自我物化,F8 自主宣言與男性凝視背書的矛盾結構,F9 權力位置的翻轉而非拆解,F10 冷硬無情等於力量的情感規訓,F11 照顧、隱忍與依附的浪漫化,F12 同意界線的模糊與施壓,F13 支配—臣服腳本的情慾化,F14 好女人／壞女人的分類與自我切割,X1 貶抑稱謂的常態化：以「bitch」「hoe」作為女性的預設稱呼,X2 女性被化約為身體部位與性功能,X3 性與親密關係的金錢交易化,X4 所有格宣示與男性間較勁的戰利品邏輯,X5 女性作為可計數、可挑選、可丟棄的可替換品,X6 性同意的消解與性資格感,X7 命令句驅使女性進行性化的身體表演,X8 女聲的自我賦權以貶抑其他女性為代價,X9 以男性為軸心的女女敵對競爭,X10 「陰性＝低劣」的象徵階序,X11 女性犧牲、忍耐與自我消耗的神聖化,X12 男性免責與女性承擔善後,X13 女性失語與男性代言、救世主敘事,X14 女性情緒的病理化與噤聲規訓,X15 女性自我價值錨定於男性凝視與慾望,X16 聖女／蕩婦二分與性的雙重標準
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",mixed,"Bitches mad, but can't beat my ass, ho, run it up
Bitches mad, but can't beat my ass, ho, run it up (Yeah)","1. 全曲大量以「bitch」「ho」「trick」等貶抑性詞彙指稱女性（甚至泛稱他人），將侮辱女性的語言常態化（3/3）：「Who the fuck you talkin' to, ho? I ain't the one」、「Uh, little-ass bitch, steppers, I be poppin' shit」、「Fuck that trick, I'ma—」、「It's gettin' sticky in this bitch」、「Bitch, it's gettin' sticky, sticky, sticky」。
2. 對女性的直接暴力威脅，將毆打女性當作炫耀與娛樂素材（3/3）：「Fah-fah-fah-fah, baby girl, I'm finna rock your shit」、「Fuck that bitch, I'll clap your ho」、「These bitches tryna scrap, but I'm knuckin' if you buckin', ho」。
3. 將女性物化為可任意取用的性對象，無視其自主意願與既有關係，並以破壞他人感情（家庭）為傲，把性征服當作男性地位的展演（3/3）：「Sneaky link, she say that's her nigga, I don't give a fuck」、「A homewrecker, I been fuckin' who I wanna」。
4. 以陽具中心的性征服敘事誇耀男性氣概、將男性性器等同於權力與宰制，並將雙性戀女性刻板化為理所當然可供獵取的性資源，帶有物化與獵奇化（fetishization）色彩（3/3）：「Okay, big-dick nigga big stompin' through your town / All the bi bitches know the fuck is goin' down」、「That's a bet, skip the sex, ride my face, break my neck」。
5. 女聲段落（「It's Sexyy, yeah」處標示的說話者）雖展現性主動性或強悍姿態，但明言放棄爭取自身尊嚴、將自我價值繫於取得男性性資源，把女性的行動動機收編於男性性慾之下；同時以暴力與貶稱挑起女性之間的敵對互鬥，複製厭女式的女性內鬥敘事（3/3）：「I don't fight for my respect, bitch, I fight for dick」、「Bitches mad, but can't beat my ass, ho, run it up」。
6. 對性別代名詞與性別認同議題表達輕蔑，以「不在乎」的姿態貶低尊重性別認同的正當性訴求；雖有模糊性別界線的自我表述，但以「bitch」自況時仍延續該詞的貶義脈絡，態度曖昧而輕慢（3/3）：「Nigga, give a fuck 'bout pronouns, I'm that nigga and that bitch」。
僅單獨提及：以命令語氣搭配貶稱，將女性置於為男性性行為「善後清理」的僕役位置（「Grab that mop, grab that mop, I got something, bitch」）。",,,,,,,,,,,,,✓,✓,✓,✓,,,,,,,,,,,,✓,,,,,,,✓,,,,,,,,
Super Freaky Girl,Nicki Minaj,female,"I got a princess face, a killer body, samurai mind
Elegant bitch with a hoe glow","1. 以「bitch」「hoe」等厭女詞彙指稱自己與其他女性，即使出自女性之口，仍複製並鞏固羞辱、貶損女性的語言（3/3）：「I don't let bitches get to me」、「Keep these bitches on they toes like Manolo」、「Elegant bitch with a hoe glow」。
2. 將女性之間的關係描繪為圍繞男性的敵對競爭，以「睡走對方的男人」作為報復與勝利手段，把男性當作女性互鬥的戰利品，強化父權下「女人為敵」的敘事（3/3）：「I don't let bitches get to me, I fuck they man if they try」、「His ex bitch went up against me, but she didn't survive」、「They can't be Nicki, they so stupid, I just laugh when they try」。
3. 敘事者雖展現性主動，但性能力與自我價值反覆訴諸男性的慾望與認可來證成，性技巧被框定為滿足並留住男人的服務，副歌以男性想要什麼為核心（3/3）：「He want a F-R-EEEEE-A-K」、「And every time he leave me 'lone, he always tell me he miss it」、「I can do all them little tricks and keep the dick up inside it」。
4. 順從並執行男性下達的表演式性指令，甚至以動物化、寵物化的方式回應，女性身體成為回應男方點單、供男性凝視消費的表演物（3/3）：「He said, ""Could you throw it back while you touch the ground?"" / Then he said, ""Do that pussy purr?"" I said, ""Yup, meow""」。
5. 以外貌排名作為女性價值與優越地位的標準，將「最美」當成壓過其他女性的資本，複製「女人以美貌論高下」的父權邏輯（3/3）：「He know the prettiest bitch didn't come until I arrive」、「I got a princess face, a killer body, samurai mind」。
6. 女性身體在語言上被化約為可供他人拍打、抓握、操作的部位與「它」（it），呈現部位化的自我物化（2/3）：「You can smack it, you can grip it / You can go down and kiss it」。
僅單獨提及：開場由聽來是男性的聲音以「認可」姿態評價女性，將女性價值置於男性核准之下，帶有男性凝視框架。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,✓,,,,✓,✓,,,,,,,✓,,,,,,✓,✓,✓,,,,,,✓,
Surface Pressure,Jessica Darrow,non-binary,"Give it to your sister, your sister's stronger
I glow 'cause I know what my worth is
I move mountains / I move churches",無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,mixed,Bust down on my wrist in this bitch,"1. 將女性物化為可供男性「品嚐」、任意消費的「口味」，把愛與親密關係化約為男性一夜的感官享用（3/3）：「Love in a thousand different flavors / I wish that I could taste them all tonight」。
2. 將女性視為可互換、可量產、可大量收集的對象，強調數量而非個體，女性成為彰顯男性地位的戰利品（3/3）：「So you should bring all your friends / I swear that to a-all y'all my type」、「Dolla got too many girls, ay」。
3. 以「喝下／吞嚥」的雙關反覆將女性定位為口交行為中被動、服務性的一方，把在場所有女性一概預設為渴求男性性服務的群體，並以「壞女孩」標籤將女性的性順從包裝成其本性（3/3）：「All you girls in here, if you're feeling thirsty / Come on take a sip 'cause you know what I'm servin'」、「Bad girls gon' swalla-la-la」、「DJ poppin', she gon' swallow that / Champagne poppin', she gon' swallow that」。
4. 以所有格語言宣示對女性的佔有，將女性標記為男性的附屬品，並以「freaky」單一化地標定其性功能（3/3）：「My freaky, freaky gyal」。
5. 將女性身體的展演化約為拍攝上傳社群媒體、供人觀看的景觀，強化男性凝視與女性身體作為公開展示品的意識（3/3）：「When she back it up, put it on the Snap / When she droppin' low, put it on the Gram」。
6. 以外貌與奢侈品消費符號界定女性價值，將女性化約為裝飾性的存在（2/3）：「Met her out in Beverly Hills, all she wear is red bottom heels」。
7. 歌詞中的女聲段落雖展現自主（「Bad gyal no swalla nuttin」、「ain't no telling me ""no""」），但其自我賦權建立在以蕩婦羞辱式語彙貶抑其他女性之上，將女性劃分為「值得娶的」與「thots」的階序，複製父權下女性互相攻訐、彼此為敵、爭奪男性認可的厭女框架（3/3）：「How y'all wife'in these thots? You don't get wins for that」、「I gave these bitches two years, now your time's up」、「Bless her heart, she throwing shots but every line sucks」。
僅單獨提及：女聲段落將自身價值部分繫於性能力與男性以奢侈品交換的認可，暗示性可作為換取物質的籌碼、全曲以酒精與飲用意象包裝性邀約，將派對氛圍與女性的性順從綁定，淡化同意的重要性、以「bitch」等貶抑女性的字眼作為日常稱謂，延續以侮辱女性的語彙建構酷炫形象的文化。",✓,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,✓,✓,,,✓,,,,,,,,✓
Sweetest Pie,Megan Thee Stallion & Dua Lipa,female,"I ain't never had to chase dick in my life (Dick in my life)
Hot girl shit, but I'm cold every season (But I'm)
Real hot girl shit (Ooh, this the ride of your life)","1. 以「bitch」這一針對女性的性別化侮辱詞貶稱、攻擊其他女性，複製厭女語彙。（3/3）引句：「He whipped, I know it's pissin' off his old bitch」、「Pussy tighter than a bitch, he ain't had it like this」。
2. 把女性置於以男性為獎品的敵對競爭關係中，將「激怒對方的女人」當作勝利與炫耀，複製「女人是情敵」、女性互鬥的父權框架。（3/3）引句：「He whipped, I know it's pissin' off his old bitch」。
3. 將自己的身體描述為供男性任意「使用」的物件——甚至是在對方睡著、女方無互動的情境下——即使出自女性聲音，仍以「可被利用性」界定身體價值，滑向自我物化。（3/3）引句：「Booty like a pillow, he can use it while he's sleepin'」。
4. 全曲反覆以甜點、食物比喻女性身體與性，雖出於敘事者自主的挑逗，仍延續「女體＝供人取食、消費的商品」的物化修辭，價值建立在被男性品嚐、索取之上。（2/3）引句：「I might just give you a bite of the sweetest pie」、「Come get your dose of the sweetest pie」、「I got cake and I know he want a slice」、「That Hansel and Gretel, let him eat me up」。
5. 以迎合男性性標準的身體指標（陰道緊緻）作為自我價值與優越感的來源，內化並強化以男性快感為中心的身體評價體系。（2/3）引句：「Pussy tighter than a bitch, he ain't had it like this」。
6. 所謂「女力」在此以支配—馴服的權力翻轉呈現：把伴侶比作待訓練的狗、自己是馴犬師，強調誰「當家作主」，僅是把宰制者的位置換人坐，複製而非拆解父權式的支配邏輯，而非追求平等相互尊重的關係。（3/3）引句：「Cesar Millan, I got his ass trained (I got his ass trained) / I gotta let a dog know who really run things」。
僅單獨提及：將自身價值繫於「被花心男人唯一選中」的例外地位，以男性的選擇來確認自我（「He a player, but for Megan, he cuttin' the whole team」）。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,,,,✓,,✓,,,,,,,,,,,,,✓,✓,,,,,,✓,
Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",female,"I'ma cut you open, lose control, then rip out your heart
I'ma gear up and take you down",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",mixed,"I'ma hoe, rich bitch and work like I’m broke still (Cardi)
But I'ma boss, bitch, who you gonna leave me for?","1. 男性聲部將女性物化、化約為身體部位（臀部）作為凝視與評鑑的對象，並以核爆的暴力災難意象性化女體，加深物化與獵奇感。（3/3）
引文：「Booty explota como Nagasaki」、「No le bajes, el booty sobresale de tu traje」
2. 將女性的衣著（不穿內褲）詮釋為刻意替男性性方便所做的準備，把女性身體的自主呈現改寫為服務男性的工具，複製「穿著暴露＝同意」的迷思與男性受益者心態；即使女性聲部末段挪用此句奪回主導權，仍沿用「不穿內褲是為了讓男性省事」的框架，使女性的身體展演依舊錨定在服務男性的敘事上。（3/3）
引文：「No trajo pantisito pa' que el nene no trabaje」、「El booty sobresale de mi traje / No traje pantisito pa' que el nene no trabaje」
3. 複製「嘴上說不要、其實想要」的迷思：男性聲部宣稱比女性更懂她自己，將她明示的拒絕解讀為欲拒還迎，直接消解女性說「不」的效力、侵蝕性同意原則；此套語在歌中反覆出現並被正常化，即使後段換成女性視角反向套用在男性身上，仍鞏固「口頭拒絕不算數」的邏輯。（3/3）
引文：「Es que yo me sé lo que ella cree que ella se sabe / Cuenta que no quiere pero me tiene espionaje」、「Dice que no quiere pero se quiere comer el equipaje」
4. 女性聲部（Cardi段落）雖展現性與經濟上的主體性，卻以厭女詞彙貶抑其他女性、透過踩低同性來抬高自己，複製了女性之間互相競爭敵視的父權邏輯與厭女語言階序；即便自稱「I'ma hoe, rich bitch」可視為語彙挪用，對其他女性使用「hoes」「bitches」仍是貶抑。（3/3）
引文：「You hoes have no class, you bitches froze still」
僅單獨提及：開場以命令句要求對方為「我」跳舞、獻吻，將女性置於為男性慾望表演的位置，並預設對方渴求親密接觸。",✓,,,,,,✓,,,,,,,✓,,,,,,,,,,,✓,,,,✓,,,,✓,,✓,,,,,,,✓,
Taste,Sabrina Carpenter,female,My body's where they're at,"1. 全曲建立在「雌性競爭」的框架上：兩名女性被置於圍繞同一個男人的敵對與較勁關係中，彼此的連結完全以男性為中介來定義，強化以男性為中心、「女人為男人互鬥」的父權敘事。（3/3）
   引文：「I heard you're back together and if that's true / You'll just have to taste me when he's kissin' you」、「Now I'm gone, but you're still layin' / Next to me, one degree of separation」
2. 說話者以「性佔有的痕跡」凌駕另一位女性的親密經驗，宣稱自己永遠留存於男人身上，藉此否定對方作為獨立主體的可能，並將女性的自我價值與優越感繫於對男性的性影響力。（3/3）
   引文：「Every time you close your eyes / And feel his lips, you're feelin' mine」、「And every time you breathe his air / Just know I was already there」、「Just know you'll taste me too」、「Oh, I leave quite an impression」
3. 擅自公開並嘲弄另一名女性的私密性生活，將她的身體與親密經驗當作公開羞辱的素材，且描繪中女性處於被壓制、被動承受的位置，複製性場景中的權力刻板，並貶低其主體性。（3/3）
   引文：「He pins you down on the carpet / Makes paintings with his tongue」、「He's funny, now all his jokes hit different / Guess who he learned that from?」
4. 以居高臨下、施捨的口吻「恩准」對方擁有這個男人，並用「用過即棄」「與人共享」的說法把男人與關係當作可轉讓的物件，藉貶低同性來抬高自己，複製而非顛覆物化邏輯。（3/3）
   引文：「You can have him if you like / I've been there, done that once or twice」、「Yeah, I know I've been known to share」
5. 男性完全免責且被中心化：在兩段關係間遊走的男子未受任何指責，反而被描繪成雙方爭奪的獎品，全部的敵意、責難與羞辱都由女性承受，是「怪女人、放過男人」的結構。（2/3）
   引文：「You can have him if you like / I've been there, done that once or twice」、「Guess who he learned that from?」
6. 預設女性必然渴望「永遠」的浪漫承諾、人生目標是留住這個男人，將女性慾望窄化為對男性的依附，套用「女人都想要天長地久」的刻板印象。（2/3）
   引文：「If you want forever, and I bet you do (I bet you do)」
7. 說話者一面宣稱不在乎、一面整首歌持續挑釁糾纏，情感生活仍以男人與這段三角關係為中心，示範以貶低同性處理情感失落、強化女性間敵意而非團結的模式。（3/3）
   引文：「And singin' 'bout it don't mean I care」
僅單獨提及:敘事者以「教會他」自居，將自身價值建立在替男人養成情趣與魅力、供下一位女性「受用」之上，以服務男性的成果來衡量女性地位。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,✓,,,,,✓,,,,,,,,,,,,,✓,✓,,,,,,✓,
"Thank U, Next",Ariana Grande,female,"'Cause her name is Ari / And I'm so good with that
'Cause her name is Ari / And I'm so good with that (so good with that)
She taught me love (love) / She taught me patience (patience) / How she handles pain (pain) / That shit's amazing (yeah, she's amazing)",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That's So True,Gracie Abrams,female,"I'll put up a fight, taking out my earrings","1. 女性間為男性互鬥：歌詞將女性之間的關係置於「爭奪同一個男人」的框架中，敘事者對另一名女性的情感在喜歡與敵視間搖擺，落入「女人為男人互相敵視」的父權敘事。（3/3）引文：「But I think I like her, she's so fun / Wait, I think I hate her, I'm not that evolved」。
2. 以男性性滿足為軸心評價、比較女性：敘事者用「她如何取悅他」來觀看另一名女性，並把自己過去的親密行為放進同一套「服務男性」的比較框架，複製男性凝視，將女性價值化約為對男人的性吸引與性服務。（3/3）引文：「What'd she do to get you off? (Uh-huh)」、「Taking down her hair like, oh my God / Taking off your shirt, I did that once / Or twice」。
3. 將自己的身體與性當作獻給男性的「獎品」：即使已貶低這個男人，敘事者仍主動以性親密作為對方的犒賞，屬於自我物化，將女性化約為男性可獲得的戰利品。（3/3）引文：「You should spend the night, catch me on your ceiling / That's your prize, that's your prize」。
4. 女性主體性依附男性、隱忍傷痛並將之正常化：敘事者的痛苦與生死感受全繫於對方的舉動，受傷時自我壓抑、強顏歡笑，並將「默默承受男性造成的傷害」認同為「我的人生」，正是父權期待女性隱忍情緒的劇本。（3/3）引文：「Did it just to hurt me, make me cry / Smiling through it all, yeah, that's my life」、「Said that I was fine, said it from the coffin」、「Remember how I died when you started walking? / That's my life, that's my life」。
5. 明知對方無價值仍以他為情感中心：敘事者已判定對方傷害自己且毫無價值（「you're just another dude」），卻仍念念不忘、以他為生活重心、甚至主動接近，呈現女性難以脫離有害關係、以男性認可為中心的依附。（2/3）引文：「Think about your dumb face all the time」、「Living in your glass house, I'm outside」。
僅單獨提及：女性角色被描繪成在同一男性目光下可相互替換，其「酷」與否由男性凝視評價定義。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,,,,,,,,✓,,,,,,,,,,,,✓,,✓,,,,✓,
Therefore I Am,Billie Eilish,female,"I think, therefore, I am
I'm not your friend or anything / Damn, you think that you're the man / I think, therefore, I am",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thot Shit,Megan Thee Stallion,female,"none of these hoes finna see me at the bank
I'll be damned if he thinkin' he poppin' up on this pimpin'","1. 全曲大量以「hoes」「bitch」等厭女詞彙指稱並攻擊其他女性，甚至將女性去人化為獵物或鼠輩，複製並再生產以性羞辱貶抑女性的語言體系（3/3）：「Hoes tryna call me a snake, shit, I guess I can relate」、「And since these hoes all rats, when they come around me / All I see is a whole lotta dinner」、「Bitch dry hatin', tryna get noticed」、「How many bitches lyin' if they say they bars is better?」
2. 以女性性器官作為侮辱用語，將「陰柔」「女性特質」等同於軟弱、卑劣的負面價值，屬典型厭女修辭（2/3）：「Pussy-ass niggas hatin' on me from the closet, ah」
3. 將女性之間的關係一律描寫為嫉妒、背刺與零和競爭，敘事者的自我賦權建立在對其他女性的敵意與踩踏之上，強化「女人互鬥」的刻板敘事，而非姊妹情誼或集體團結（2/3）：「I remember hoes used to clap for me happily / Now I'm bossed up and them same hoes mad at me」、「Acting like they ridin', whole time tryna pass me / Watchin' me go through it and still tryna drag me」、「Hoes takin' shots, but they ain't in my caliber」
4. 以「搶走有伴男性的注意力」為榮，將勝過另一名女性、獲得男性慾望當作自身魅力與價值的證明，代價由另一名女性承擔，強化女性互為情敵的框架（3/3）：「He got a girl, but he keep beggin' to see me」
5. 將親密關係的成立完全條件化為男性的金錢支出，以對方消費能力衡量男性價值、以對方花費作為自己親近的前提，複製「男性供養、女性以自身作為交換」的傳統性別交易腳本（3/3）：「We ain't even speakin' if the nigga ain't spendin' / He could never say that I was one of his women」、「No, I'm not a patient, but I let him treat me / I gotta be a doctor how I'm orderin' CCs」
6. 以財富與名牌作為貶低其他女性、衡量女性成功的量尺，並明言自己的炫耀是以讓其他女性「痛苦」「受傷」為目的，將女性間關係化約為財富位階的較勁（3/3）：「LVs, double C's, Birkins, I'm workin' / My chain ain't hittin' if a bitch ain't hurtin'」、「None of these hoes finna see me at the bank」
7. 文本中插入檢討、管束女性行動的聲音，質問女性為何出現在「男人失控」的場合，將男性失序行為的責任轉嫁到女性的行動自由上，屬典型譴責受害者話語，且該話語在文本中未被直接駁斥（2/3）：「(Why the fuck you in the club when niggas wildin'?)」
僅單獨提及：身體自主與獲利的宣示本可視為對性污名的反轉，但在文本中始終與貶低其他女性、以男性金錢與市場眼光定價自身綁在一起，使自我物化的商業邏輯凌駕於集體性的女性解放之上，賦權止於個人例外主義。",—,—,—,—,—,—,—,—,—,—,—,—,—,,✓,✓,✓,✓,✓,,,,,,,,,,,✓,,,,,✓,✓,✓,,,,,✓,
Tomorrow 2,GloRilla & Cardi B,female,"I fight for my bitches and I'm fightin' over dick too
Me, I'm kinda ratchet still so I'm the type to beat somethin'
She say she don't fuck with me (Who?), who said that you can, ho?","1. 全曲大量以「bitch」「ho」等貶抑女性的詞彙攻擊、羞辱其他女性，複製父權對女性的貶稱體系，破壞女性之間的連結（3/3）：「Why did you confront me 'bout a nigga? Man, you bitches backwards (Stupid ass)」、「Thinkin' that she got one up on me, she got my hand-me-downs (Lame ass ho)」、「I don't speak dog ho (Woof), I don't care what no bitch say (No)」、「She say she don't fuck with me (Who?), who said that you can, ho? (Never)」、「Them bitches should've stayed down, they could've been up with me (Too bad)」。
2. 女性之間的敵對與較勁以男人為核心，甚至明言為男人打架，強化「女人為爭奪男人而互鬥」的父權腳本（3/3）：「I, I fight for my bitches and I'm fightin' over dick too (That, that, Cardi)」、「Fake bitch, that's why my friend fucked on your nigga (Ah-ha)」、「My ex fuckin' on my old friend, both they ass some fuckin' clowns (Hahahaha)」。
3. 以「搶走別的女人的男人」作為炫耀與壓制其他女性的資本，並把前任男友比作施捨給對方的二手物，使女性價值仍以男人為座標、將男女關係化為女性間位階競爭的計分工具（3/3）：「I can't be up in her face, I took her nigga down before (Nah)」、「Thinkin' that she got one up on me, she got my hand-me-downs (Lame ass ho)」。
4. 引用並肯認「留著她比較便宜」的說法，將女性與親密關係化約為男性的經濟成本考量，把女性當成可比價、可「留用」的財產（3/3）：「He gon' choose her every time 'cause it's cheaper to keep her (Hahaha)」。
5. 以「pussy」（女性性器）作為懦弱的罵詞，將女性身體等同於軟弱；並把女同性性行為當作羞辱與嘲諷工具，兼具厭女與貶抑女同志情慾的意味（3/3）：「Both you bitches pussy, I think y'all should scissor (Ah-ah-ah)」。
6. 對其他女性揚言或誇耀肢體暴力並引以為傲，以壓迫式的支配姿態取代姊妹情誼（3/3）：「Me, I'm kinda ratchet still so I'm the type to beat somethin' (Beat 'em up)」、「I've been on these bitches neck so long, sometimes my foot get stuck (Ah)」、「Play with me today then get some sleep, you know it's up tomorrow (Woo)」。
7. 嘲笑其他女性為男人傷心、依附男人或以言語表達不滿，建立「強悍的我 vs. 可悲的她們」的對立，暗示女性的情感表達可恥，卻不批判造成傷害的男性（3/3）：「She the type, the nigga make her mad she go tweet somethin' (Ugh)」、「These bitches be lettin' them go out sad about these niggas (Ugh)」。
8. 使用身心障礙歧視語作為嘲諷貶語，從交織性的女性主義觀點屬於歧視性語言（2/3）：「He thought he wasn't gon' have to stand on shit, like he was handicap (Thought it was)」。
9. 歌詞所展現的「女力」與自我賦權建立在踩低其他女性與物質比較之上，其宣稱的姊妹情誼僅限自己小圈子且是條件性的、隨時可拋棄，呈現個人式、排他式的勝利而非挑戰結構的女性團結（2/3）：「Them bitches should've stayed down, they could've been up with me (Too bad) / But all they doin' is talkin' down, 'cause they can't get up with me (Lame ass)」、「She bought a chain, I bought the same one, even bigger (Bitch, it's bigger)」、「Slidin' with my gang and 'nem, look at them like sisters (That's gang)」對照「Can't say your name up in my songs, might not fuck with you tomorrow」。
僅單獨提及：嘲弄其他女性的外貌與髮型（如接髮），將女性外表當作攻擊武器，強化以外貌評判女性的文化。",—,—,—,—,—,—,—,—,—,—,—,—,—,,✓,✓,,,,,,,,,,,,,,✓,,,,,✓,✓,✓,,,,✓,,
TQG,Karol G x Shakira,female,"Más buena, más dura, más level
Tú te fuiste y yo me puse triple M (mm) / Más buena, más dura, más level
Dile a tu nueva bebé / Que, por hombre', no compito
Y que te quedó grande La Bichota","1. 歌詞雖聲稱「不為男人競爭」，實際卻反覆將矛頭指向另一位女性，貶低、比較男方的新歡，複製「女人為男人互鬥」的父權劇本，敘事重心放在與新歡較勁與自我證明，男方不忠的責任反而被淡化、輕描淡寫，甚至以曖昧喊話收尾。（3/3）引文：「Dile a tu nueva bebé / Que, por hombre', no compito / Que deje de estar tirando」、「Vi lo que tu novia me tiró / Eso no da ni rabia, yo me río」、「Tú buscando por fuera la comida」、「TQM, pero TQG, ja, ja, ja」。
2. 以「把男人照顧、打理得漂漂亮亮」作為自己勝過新歡的證據與女性之間高下的評比標準，將女性價值繫於服侍、妝點男性的傳統性別角色，強化性別化的情感勞動與照顧分工。（3/3）引文：「Que, al meno', yo te tenía bonito」、「Que no tiene buena mano / Y, al menos, yo te tenía bonito」。
3. 分手後的「自我提升」被化約為變得更漂亮、更性感，將女性的復原、成功與復仇資本建立在男性凝視下的外貌吸引力之上。（3/3）引文：「Tú te fuiste y yo me puse triple M (mm) / Más buena, más dura, más level」、「Estoy más dura, dicen lo' reporte'」。
4. 背景和聲插入對女性身體的性化、物化指令，在女聲唱出「不為男人競爭」的同一段落中，將女性重新化約為供觀賞、擺動的身體，與歌曲表面的自立姿態相牴觸。（3/3）引文：「Que, por hombres, no compito (mueve ese culito)」。
僅單獨提及：敘事者的「翻身」賦權仍以前男友的懊悔、注視與想回頭作為確認，未真正脫離男性目光、以「食物」隱喻描述男方在外拈花惹草，語言上把親密關係中的女性比作可供男性消費、嘗鮮的物品。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,✓,,,,✓,,,✓,,,,,,,,,,✓,✓,✓,,,,,,✓,
Truth Hurts,Lizzo,female,"I put the sing in single
Bling, bling, then I solve 'em, that's the goddess in me","1. 以「bitch」這一針對女性的侮辱性字眼指稱另一名女性，將怒氣部分轉嫁至男方的新伴侶而非失信的男性本人，且以所有格把該女性定位為男性的附屬品，複製「女人為男人互相貶低、競爭」的厭女敘事；同一字眼亦被用作對他人的攻擊罵詞，沿用以女性為羞辱基準的語言（3/3）：「Hey, I'm glad you're back with your bitch」、「I don't play tag, bitch, I been it」。
2. 沿用「side chick」（小三／備胎）的分級框架，以女性相對於男性的關係位置來定義、排序並貶低女性，「chick」一詞本身亦有將女性幼體化、物化之意；即便敘事者是在拒絕此位置，其鄙夷仍指向「位置上的女人」而非出軌結構本身（3/3）：「I will never, ever, ever, ever, ever be your side chick」。
3. 走出情傷的「勝利」與自我價值證明仍大量仰賴新的男性關注與新男性的社會地位——療癒的高潮是炫耀新對象的職業頭銜、以另一名男性主動追求作為勝利宣言——使「復原」與「翻身」仍繞著男性目光與認可打轉，未脫離「以男人衡量女人價值」的框架，並削弱歌中其他自我肯定段落的獨立性（3/3）：「New man on the Minnesota Vikings」、「It's okay, he already in my DMs」、「So, you can tell your friend / Shoot your shot when you see 'em」。
僅單獨提及：以「bitch」自稱（""I just took a DNA test, turns out I'm 100% that bitch""）雖具自我挪用與賦權意味，但同時持續流通此針對女性的侮辱字眼，效果曖昧、自我肯定與療癒被綁定於外貌整飾與可被觀看的形象展示（""Best friend sat me down in the salon chair""、""Fresh photos with the bomb lighting""）、以「男人皆如此」的性別本質論概括處理個別關係中的失望（""Why men great 'til they gotta be great?""）。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,✓,,,,✓,,,,,,✓,,,,,,,,✓,,,,,,,✓,
